Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Coimbatore,Anaimalai,Maize,Other,FAQ,1900,2100,2000,12-Feb-23
2,Coimbatore,Annur,Maize,Other,FAQ,1500,1700,1600,05-Feb-21
3,Coimbatore,Annur,Maize,Other,FAQ,1500,1700,1600,10-Sep-20
4,Coimbatore,Annur,Maize,Other,FAQ,1500,1700,1600,12-Feb-21
5,Coimbatore,Annur,Maize,Other,FAQ,1500,1700,1600,29-Jan-21
6,Coimbatore,Annur,Maize,Other,FAQ,1500,1700,1650,09-Feb-21
7,Coimbatore,Annur,Maize,Other,FAQ,1500,1750,1720,04-Jan-21
8,Coimbatore,Annur,Maize,Other,FAQ,1550,1700,1650,07-Aug-20
9,Coimbatore,Annur,Maize,Other,FAQ,1550,1700,1650,08-Apr-21
10,Coimbatore,Annur,Maize,Other,FAQ,1600,1660,1650,22-Jul-20
11,Coimbatore,Annur,Maize,Other,FAQ,1600,1700,1650,18-Mar-20
12,Coimbatore,Annur,Maize,Other,FAQ,1600,1700,1650,25-Jan-22
13,Coimbatore,Annur,Maize,Other,FAQ,1600,1700,1650,26-Mar-21
14,Coimbatore,Annur,Maize,Other,FAQ,1600,1700,1650,28-Jul-20
15,Coimbatore,Annur,Maize,Other,FAQ,1600,1800,1700,02-Jan-20
16,Coimbatore,Annur,Maize,Other,FAQ,1600,1800,1700,03-Jan-20
17,Coimbatore,Annur,Maize,Other,FAQ,1600,1800,1700,07-Jan-20
18,Coimbatore,Annur,Maize,Other,FAQ,1600,1800,1700,11-Oct-21
19,Coimbatore,Annur,Maize,Other,FAQ,1600,1800,1700,19-Feb-20
20,Coimbatore,Annur,Maize,Other,FAQ,1600,1800,1700,20-Jan-20
21,Coimbatore,Annur,Maize,Other,FAQ,1600,1800,1700,22-Jan-20
22,Coimbatore,Annur,Maize,Other,FAQ,1600,1800,1700,22-Sep-20
23,Coimbatore,Annur,Maize,Other,FAQ,1600,1800,1700,27-Jan-20
24,Coimbatore,Annur,Maize,Other,FAQ,1600,1800,1750,01-Mar-21
25,Coimbatore,Annur,Maize,Other,FAQ,1600,1800,1750,30-Jul-21
26,Coimbatore,Annur,Maize,Other,FAQ,1650,1750,1700,06-Jan-21
27,Coimbatore,Annur,Maize,Other,FAQ,1700,1800,1750,03-Jan-22
28,Coimbatore,Annur,Maize,Other,FAQ,1700,1800,1750,11-Mar-21
29,Coimbatore,Annur,Maize,Other,FAQ,1700,1800,1750,13-Jul-20
30,Coimbatore,Annur,Maize,Other,FAQ,1700,1800,1750,22-Dec-21
31,Coimbatore,Annur,Maize,Other,FAQ,1700,1850,1800,03-May-21
32,Coimbatore,Annur,Maize,Other,FAQ,1700,1850,1800,07-Jul-20
33,Coimbatore,Annur,Maize,Other,FAQ,1700,1850,1800,09-Mar-20
34,Coimbatore,Annur,Maize,Other,FAQ,1700,1850,1800,17-Dec-21
35,Coimbatore,Annur,Maize,Other,FAQ,1700,1900,1800,04-Dec-21
36,Coimbatore,Annur,Maize,Other,FAQ,1700,1900,1800,07-Oct-21
37,Coimbatore,Annur,Maize,Other,FAQ,1700,1900,1800,09-Nov-21
38,Coimbatore,Annur,Maize,Other,FAQ,1700,1900,1800,10-Dec-21
39,Coimbatore,Annur,Maize,Other,FAQ,1700,1900,1800,11-Nov-21
